tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
adjacency-filter	RH_S001__insert_270.fq	0.0479694	0.008828029985714286	0.12980997633488978	0.023352399999999992	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.14787005121136462	0.2133313895786328	0.19575962015639037
base-counting	RH_S001__insert_270.fq	0.0413105	0.011207465757142859	0.12980992118683357	0.030011299999999994	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.1358247966988272	0.19595376062714964	0.26645376148760164
edlib	RH_S001__insert_270.fq	0.0840012	0.0018152502714285715	0.12980995468466391	0.013196400000000004	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.21294296020409503	0.3072117526786638	0.08496101671999642
grim_original	RH_S001__insert_270.fq	0.030877599999999998	0.013927049242857143	0.12981000526736933	0.0404442	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.1097694827310103	0.15836388837697526	0.39573813544893605
grim_original_tweak	RH_S001__insert_270.fq	0.030877599999999998	0.013927049242857143	0.12981000526736933	0.0404442	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.1097694827310103	0.15836388837697526	0.39573813544893605
hd	RH_S001__insert_270.fq	0.0885086	0.003510257571428572	0.0	0.018168000000000007	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.21842486139877207	0.31512046434686763	0.11367049072016341
magnet	RH_S001__insert_270.fq	0.0691629	0.0016632475571428556	0.12980995802032633	0.0021588999999999927	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.1863309468330932	0.26881873296024866	0.015367509771526669
qgram	RH_S001__insert_270.fq	0.030877599999999998	0.013927049242857143	0.12981000526736933	0.0404442	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.1097694827310103	0.15836388837697526	0.39573813544893605
qgram_hash	RH_S001__insert_270.fq	0.0737075	0.0006343829857142852	0.48261474269819193	0.004658900000000005	0.5	1.0	0.6666666666666666	1.0	0.0	1.0	1.0	0.5	0.19220341552228723	0.0	0.03212385359372213
shd	RH_S001__insert_270.fq	0.0337851	0.01199737695714286	0.12980992118683357	0.0375367	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.11889460777749905	0.17152866102903627	0.35712878983206614
shouji	RH_S001__insert_270.fq	0.031037699999999998	0.013884901657142856	0.12980992118683357	0.04028409999999999	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.11016856145804939	0.15893963727739885	0.39355506816660885
sneakysnake	RH_S001__insert_270.fq	0.0714751	0.0019027622999999985	0.12980992118683357	0.001513100000000005	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.1913433212098857	0.2760500606167261	0.010596168404216092
ksw2_cigar	RH_S001__insert_270.fq	0.0713218	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.1941610756185833	0.2801152209285972	0.0
edlib_cigar	RH_S001__insert_270.fq	0.0840012	0.0018152502714285715	0.12980995468466391	0.013196400000000004	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.21294296020409503	0.3072117526786638	0.08496101671999642
