tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
adjacency-filter	RH_S001__insert_270.fq	0.2353845	0.008828029985714286	0.12980997633488978	0.14736649999999998	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.461683392682581	0.420242334301847	0.23840484812795895
base-counting	RH_S001__insert_270.fq	0.1960815	0.011207465757142859	0.12980992118683357	0.1866695	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.4245978709635761	0.3864856376932872	0.3224931219307831
edlib	RH_S001__insert_270.fq	0.38751749999999996	0.0018152502714285715	0.12980995468466391	0.021109300000000008	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.5748315038416534	0.5232341834975685	0.027405119124045717
grim_original	RH_S001__insert_270.fq	0.1543877	0.013927049242857143	0.12981000526736933	0.2283633	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.3680825007905591	0.33504313085447074	0.4251477318614354
grim_original_tweak	RH_S001__insert_270.fq	0.1543877	0.013927049242857143	0.12981000526736933	0.2283633	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.3680825007905591	0.33504313085447074	0.4251477318614354
hd	RH_S001__insert_270.fq	0.3688936	0.003510257571428572	0.0	0.04921220000000002	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.5749600778453002	0.5233512165992122	0.06547269813419802
magnet	RH_S001__insert_270.fq	0.3524237	0.0016632475571428556	0.12980995802032633	0.030327299999999988	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.5436325086440105	0.49483563423733157	0.0412518276268212
qgram	RH_S001__insert_270.fq	0.1543877	0.013927049242857143	0.12981000526736933	0.2283633	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.3680825007905591	0.33504313085447074	0.4251477318614354
qgram_hash	RH_S001__insert_270.fq	0.3808219	0.0006343829857142852	0.48261474269819193	0.00897370000000001	0.6666666666666666	1.0	0.8	2.0	0.0	1.0	2.0	0.6666666666666666	0.5547627021698539	0.8003533992906092	0.011752250505485477
shd	RH_S001__insert_270.fq	0.1891123	0.01199737695714286	0.12980992118683357	0.1936387	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.40814824661470595	0.3715125443476696	0.3386101188868038
shouji	RH_S001__insert_270.fq	0.1550356	0.013884901657142856	0.12980992118683357	0.22771539999999998	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.3690130182042294	0.3358901243054528	0.42343078090826364
sneakysnake	RH_S001__insert_270.fq	0.34755610000000003	0.0019027622999999985	0.12980992118683357	0.03686130000000001	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.5466764030937896	0.49760630636723224	0.05047369798267058
ksw2_cigar	RH_S001__insert_270.fq	0.382751	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.5574691651164642	0.507430301723919	0.0
edlib_cigar	RH_S001__insert_270.fq	0.38751749999999996	0.0018152502714285715	0.12980995468466391	0.021109300000000008	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.5748315038416534	0.5232341834975685	0.027405119124045717
