tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
adjacency-filter	RH_S001__insert_270.fq	0.23538440000000002	0.008828029985714286	0.12980997633488978	0.1473666	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4595054143030525	0.6629261824766424	0.23840504847319854
base-counting	RH_S001__insert_270.fq	0.19608150000000002	0.011207465757142859	0.12980992118683357	0.1866695	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.42041470707762163	0.606530213017671	0.3224931219307831
edlib	RH_S001__insert_270.fq	0.38751739999999996	0.0018152502714285715	0.12980995468466391	0.020592199999999998	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.5699530005943454	0.8222683674972465	0.026733798244871522
grim_original	RH_S001__insert_270.fq	0.1543876	0.013927049242857143	0.12981000526736933	0.2283634	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.36569654942409663	0.5275885983243499	0.4251479971835947
grim_original_tweak	RH_S001__insert_270.fq	0.1543876	0.013927049242857143	0.12981000526736933	0.2283634	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.36569654942409663	0.5275885983243499	0.4251479971835947
hd	RH_S001__insert_270.fq	0.3688936	0.003510257571428572	0.0	0.04823100000000002	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.571138085238831	0.8239780832368796	0.06416729395780933
magnet	RH_S001__insert_270.fq	0.35242360000000006	0.0016632475571428556	0.12980995802032633	0.030327399999999987	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.5420556053580018	0.7820209337360542	0.04125196926009139
qgram	RH_S001__insert_270.fq	0.1543876	0.013927049242857143	0.12981000526736933	0.2283634	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.36569654942409663	0.5275885983243499	0.4251479971835947
qgram_hash	RH_S001__insert_270.fq	0.3808219	0.0006343829857142852	0.48261474269819193	0.006700500000000007	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.5547627021698539	0.8003533992906092	0.008775193566979663
shd	RH_S001__insert_270.fq	0.1891123	0.01199737695714286	0.12980992118683357	0.19363870000000002	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4037086181703218	0.5824284213984593	0.3386101188868039
shouji	RH_S001__insert_270.fq	0.1550356	0.013884901657142856	0.12980992118683357	0.2277154	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.36662450519725015	0.5289273555164428	0.42343078090826364
sneakysnake	RH_S001__insert_270.fq	0.3475561	0.0019027622999999985	0.12980992118683357	0.03550149999999999	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.5439134247013926	0.7847012004896318	0.04861174155365598
ksw2_cigar	RH_S001__insert_270.fq	0.382751	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.5516371001370481	0.7958441087380879	0.0
edlib_cigar	RH_S001__insert_270.fq	0.38751739999999996	0.0018152502714285715	0.12980995468466391	0.020592199999999998	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.5699530005943454	0.8222683674972465	0.026733798244871522
