tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	RH_S001__insert_270.fq	0.0
Gold standard	phylum	Bray-Curtis distance	RH_S001__insert_270.fq	0.0
Gold standard	class	Bray-Curtis distance	RH_S001__insert_270.fq	0.0
Gold standard	order	Bray-Curtis distance	RH_S001__insert_270.fq	0.0
Gold standard	family	Bray-Curtis distance	RH_S001__insert_270.fq	0.0
Gold standard	genus	Bray-Curtis distance	RH_S001__insert_270.fq	0.0
Gold standard	species	Bray-Curtis distance	RH_S001__insert_270.fq	0.0
Gold standard	strain	Bray-Curtis distance	RH_S001__insert_270.fq	0.0
Gold standard	superkingdom	Shannon diversity	RH_S001__insert_270.fq	0.5516371001370481
Gold standard	superkingdom	Shannon equitability	RH_S001__insert_270.fq	0.7958441087380879
Gold standard	phylum	Shannon diversity	RH_S001__insert_270.fq	0.1941610756185833
Gold standard	phylum	Shannon equitability	RH_S001__insert_270.fq	0.2801152209285972
Gold standard	class	Shannon diversity	RH_S001__insert_270.fq	0.1941610756185833
Gold standard	class	Shannon equitability	RH_S001__insert_270.fq	0.2801152209285972
Gold standard	order	Shannon diversity	RH_S001__insert_270.fq	0.1941610756185833
Gold standard	order	Shannon equitability	RH_S001__insert_270.fq	0.2801152209285972
Gold standard	family	Shannon diversity	RH_S001__insert_270.fq	0.1941610756185833
Gold standard	family	Shannon equitability	RH_S001__insert_270.fq	0.2801152209285972
Gold standard	genus	Shannon diversity	RH_S001__insert_270.fq	0.1941610756185833
Gold standard	genus	Shannon equitability	RH_S001__insert_270.fq	0.2801152209285972
Gold standard	species	Shannon diversity	RH_S001__insert_270.fq	0.5574691651164642
Gold standard	species	Shannon equitability	RH_S001__insert_270.fq	0.507430301723919
Gold standard	strain	Shannon diversity	RH_S001__insert_270.fq	0.5574691651164642
Gold standard	strain	Shannon equitability	RH_S001__insert_270.fq	0.507430301723919
Gold standard	superkingdom	True positives	RH_S001__insert_270.fq	2.0
Gold standard	superkingdom	False negatives	RH_S001__insert_270.fq	0.0
Gold standard	superkingdom	False positives	RH_S001__insert_270.fq	0.0
Gold standard	superkingdom	Completeness	RH_S001__insert_270.fq	1.0
Gold standard	superkingdom	Purity	RH_S001__insert_270.fq	1.0
Gold standard	superkingdom	F1 score	RH_S001__insert_270.fq	1.0
Gold standard	superkingdom	Jaccard index	RH_S001__insert_270.fq	1.0
Gold standard	phylum	True positives	RH_S001__insert_270.fq	2.0
Gold standard	phylum	False negatives	RH_S001__insert_270.fq	0.0
Gold standard	phylum	False positives	RH_S001__insert_270.fq	0.0
Gold standard	phylum	Completeness	RH_S001__insert_270.fq	1.0
Gold standard	phylum	Purity	RH_S001__insert_270.fq	1.0
Gold standard	phylum	F1 score	RH_S001__insert_270.fq	1.0
Gold standard	phylum	Jaccard index	RH_S001__insert_270.fq	1.0
