tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
adjacency-filter	RL_S001__insert_270.fq	0.48335500000000003	0.009381379699999998	0.0	0.08629389999999994	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.3514009728174597	0.0	0.08195021879786005
edlib	RL_S001__insert_270.fq	0.5696489	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.32056141524050563	0.0	0.0
grim_original	RL_S001__insert_270.fq	0.48294739999999997	0.009425691642857148	0.0	0.0867015	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.3515120741182425	0.0	0.0823691856032555
grim_original_tweak	RL_S001__insert_270.fq	0.48294739999999997	0.009425691642857148	0.0	0.0867015	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.3515120741182425	0.0	0.0823691856032555
hd	RL_S001__insert_270.fq	0.566168	0.0003784235571428581	0.0	0.003480899999999991	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.3220728337922232	0.0	0.003064666496862295
magnet	RL_S001__insert_270.fq	0.43598970000000004	0.014530664457142855	0.0	0.13365919999999995	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.361931033250102	0.0	0.13290977494300632
qgram	RL_S001__insert_270.fq	0.48294739999999997	0.009425691642857148	0.0	0.0867015	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.3515120741182425	0.0	0.0823691856032555
qgram_hash	RL_S001__insert_270.fq	0.43452379999999996	0.014690028728571437	0.0	0.1351251	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.36217756880355995	0.0	0.13456360643941026
shd	RL_S001__insert_270.fq	0.46685879999999996	0.011174752300000005	0.0	0.1027901	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.35561961725062635	0.0	0.09916964437408425
shouji	RL_S001__insert_270.fq	0.478473	0.009912122842857146	0.0	0.0911759	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.35270900164403957	0.0	0.08698978620711963
sneakysnake	RL_S001__insert_270.fq	0.437659	0.014349187699999998	0.0	0.13198989999999994	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.3616442887722691	0.0	0.1310323288440406
ksw2_cigar	RL_S001__insert_270.fq	0.5696489	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.32056141524050563	0.0	0.0
edlib_cigar	RL_S001__insert_270.fq	0.5696489	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.32056141524050563	0.0	0.0
