tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
adjacency-filter	ERR1700889_1.fastq	0.9513002999999999	0.03170185608571429	8.979606994189229e-09	0.4427171000000001	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.1661640100803539	0.8412095171030568	0.23429075539841523
base-counting	ERR1700889_1.fastq	0.9373158	0.022288658971428562	8.980507026334093e-09	0.32260980000000006	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.162658156173908	0.8386805780806015	0.17200159307237445
edlib	ERR1700889_1.fastq	0.9386528	0.0012761606714285687	8.979606992594166e-09	0.018636200000000054	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0329315302462199	0.7451025981320348	0.00992893820746125
grim_original	ERR1700889_1.fastq	0.9607485	0.05591528504285715	8.979606990600046e-09	0.7792983	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0826822648953658	0.7809901672114876	0.4103613815659873
grim_original_tweak	ERR1700889_1.fastq	0.9607485	0.05591528504285715	8.979606990600046e-09	0.7792983	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0826822648953658	0.7809901672114876	0.4103613815659873
hd	ERR1700889_1.fastq	0.9317081999999999	0.0064755410999999975	0.08977237272256626	0.08475619999999996	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.9502109996148602	0.6854323484712518	0.045323846342491425
magnet	ERR1700889_1.fastq	0.9377158	0.004139104071428567	0.1795447364655255	0.05779200000000001	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0692645557859264	0.7713113360153482	0.030805625310164442
qgram	ERR1700889_1.fastq	0.9607485	0.05591528504285715	8.979606990600046e-09	0.7792983	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0826822648953658	0.7809901672114876	0.4103613815659873
qgram_hash	ERR1700889_1.fastq	0.6912788000000001	0.04160357635714285	0.24398845105036443	0.34607800000000005	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.9402899965811213	0.8558888392929513	0.21237199187031783
shd	ERR1700889_1.fastq	0.9587319000000001	0.05028270975714286	0.0897723637434075	0.7008193	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.1128873946579618	0.8027785626704401	0.36942835751604436
shouji	ERR1700889_1.fastq	0.9604939	0.055463494371428564	0.08977237272256626	0.7731191	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0852991158087715	0.7828778261292457	0.4071621373740908
sneakysnake	ERR1700889_1.fastq	0.9373366999999999	0.00455264102857143	0.08977237272256626	0.0630907	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0717901976666742	0.7731332015235564	0.03363685786716537
ksw2_cigar	ERR1700889_1.fastq	0.9383052	0.0	0.0	0.0	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0271681980507141	0.7409452327433089	0.0
edlib_cigar	ERR1700889_1.fastq	0.9386528	0.0012761606714285687	8.979606992594166e-09	0.018636200000000054	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	1.0329315302462199	0.7451025981320348	0.00992893820746125
