tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
adjacency-filter	ERR1700889_1.fastq	0.9314469	0.03170185608571429	8.979606994189229e-09	0.4402224	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	1.0883509911509954	0.990659764483834	0.23829243630521535
base-counting	ERR1700889_1.fastq	0.9141293	0.022288658971428562	8.980507026334093e-09	0.32177140000000004	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	1.075379879135787	0.9788529495146204	0.17582306496567596
edlib	ERR1700889_1.fastq	0.9158292	0.0012761606714285687	8.979606992594166e-09	0.01816070000000005	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.9466592308392119	0.8616863661582409	0.00991420232807727
grim_original	ERR1700889_1.fastq	0.9465866	0.05591528504285715	8.979606990600046e-09	0.7711121	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	1.0223922239473229	0.9306215072351034	0.41401020550551376
grim_original_tweak	ERR1700889_1.fastq	0.9465866	0.05591528504285715	8.979606990600046e-09	0.7711121	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	1.0223922239473229	0.9306215072351034	0.41401020550551376
hd	ERR1700889_1.fastq	0.908064	0.0064755410999999975	0.08977237272256626	0.08346009999999997	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.8616720431210296	0.7843276941364529	0.04575610446611608
magnet	ERR1700889_1.fastq	0.9125194999999999	0.004139104071428567	0.1795447364655255	0.054943800000000015	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.9765155110608073	0.8888627235771	0.030048948944711683
qgram	ERR1700889_1.fastq	0.9465866	0.05591528504285715	8.979606990600046e-09	0.7711121	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	1.0223922239473229	0.9306215072351034	0.41401020550551376
qgram_hash	ERR1700889_1.fastq	0.6912788000000001	0.04160357635714285	0.24398845105036443	0.3237299	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.9402899965811213	0.8558888392929513	0.2014202768865479
shd	ERR1700889_1.fastq	0.943156	0.05028270975714286	0.0897723637434075	0.6940470999999999	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	1.048060024866715	0.9539853464931825	0.37332161233224587
shouji	ERR1700889_1.fastq	0.9462375000000001	0.055463494371428564	0.08977237272256626	0.7650274	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	1.0247015840513554	0.9327235773902008	0.4108203299483309
sneakysnake	ERR1700889_1.fastq	0.9117674	0.00455264102857143	0.08977237272256626	0.0598695	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.9780438656400054	0.890253891867281	0.032756304355497784
ksw2_cigar	ERR1700889_1.fastq	0.9159571	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.942222757686928	0.8576481142671553	0.0
edlib_cigar	ERR1700889_1.fastq	0.9158292	0.0012761606714285687	8.979606992594166e-09	0.01816070000000005	1.0	1.0	1.0	3.0	0.0	0.0	3.0	1.0	0.9466592308392119	0.8616863661582409	0.00991420232807727
