tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
adjacency-filter	ERR1700889_1.fastq	0.9996918999999999	0.03170185608571429	8.979606994189229e-09	0.45575640000000006	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.3127145365240402	0.8156354006466158	0.22794339181005774
base-counting	ERR1700889_1.fastq	0.9996861000000001	0.022288658971428562	8.980507026334093e-09	0.3235492	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.335714911886712	0.8299263373674279	0.1618213501880693
edlib	ERR1700889_1.fastq	0.9997582	0.0012761606714285687	8.979606992594166e-09	0.01896170000000005	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.2037305968443912	0.7479198716177123	0.00948324783921617
grim_original	ERR1700889_1.fastq	0.9996772	0.05591528504285715	8.979606990600046e-09	0.8018005000000001	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.2090457403553234	0.7512223559632524	0.4010178885976201
grim_original_tweak	ERR1700889_1.fastq	0.9996772	0.05591528504285715	8.979606990600046e-09	0.8018005000000001	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.2090457403553234	0.7512223559632524	0.4010178885976201
hd	ERR1700889_1.fastq	0.9997615999999999	0.0064755410999999975	0.08977237272256626	0.09137869999999997	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.133101966092245	0.7040358359512926	0.04570082776289263
magnet	ERR1700889_1.fastq	0.9997474	0.004139104071428567	0.1795447364655255	0.058392700000000006	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.241719310778736	0.7715235867041124	0.029203891905084496
qgram	ERR1700889_1.fastq	0.9996772	0.05591528504285715	8.979606990600046e-09	0.8018005000000001	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.2090457403553234	0.7512223559632524	0.4010178885976201
qgram_hash	ERR1700889_1.fastq	0.9621928000000001	0.04160357635714285	0.24398845105036443	0.5555611	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	1.2940911783442846	0.9334894627277273	0.2831708631235311
shd	ERR1700889_1.fastq	0.9996862000000002	0.05028270975714286	0.0897723637434075	0.7212959000000001	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.2437486067096932	0.7727844591585756	0.360752153259469
shouji	ERR1700889_1.fastq	0.9996835000000001	0.055463494371428564	0.08977237272256626	0.7953603999999999	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.2122477064740032	0.7532118493720643	0.3977956402948135
sneakysnake	ERR1700889_1.fastq	0.9997498999999999	0.00455264102857143	0.08977237272256626	0.064073	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.2449230718037279	0.7735141953509203	0.03204473549702273
ksw2_cigar	ERR1700889_1.fastq	0.9997360999999999	0.0	0.0	0.0	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.1985507222020098	0.7447014345457612	0.0
edlib_cigar	ERR1700889_1.fastq	0.9997582	0.0012761606714285687	8.979606992594166e-09	0.01896170000000005	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	1.2037305968443912	0.7479198716177123	0.00948324783921617
