tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	ERR1700889_1.fastq	0.0
Gold standard	phylum	Bray-Curtis distance	ERR1700889_1.fastq	0.0
Gold standard	class	Bray-Curtis distance	ERR1700889_1.fastq	0.0
Gold standard	order	Bray-Curtis distance	ERR1700889_1.fastq	0.0
Gold standard	family	Bray-Curtis distance	ERR1700889_1.fastq	0.0
Gold standard	genus	Bray-Curtis distance	ERR1700889_1.fastq	0.0
Gold standard	species	Bray-Curtis distance	ERR1700889_1.fastq	0.0
Gold standard	strain	Bray-Curtis distance	ERR1700889_1.fastq	0.0
Gold standard	superkingdom	Shannon diversity	ERR1700889_1.fastq	0.288143970496774
Gold standard	superkingdom	Shannon equitability	ERR1700889_1.fastq	0.4157038772977516
Gold standard	phylum	Shannon diversity	ERR1700889_1.fastq	0.942222757686928
Gold standard	phylum	Shannon equitability	ERR1700889_1.fastq	0.8576481142671553
Gold standard	class	Shannon diversity	ERR1700889_1.fastq	0.942222757686928
Gold standard	class	Shannon equitability	ERR1700889_1.fastq	0.8576481142671553
Gold standard	order	Shannon diversity	ERR1700889_1.fastq	1.0271681980507141
Gold standard	order	Shannon equitability	ERR1700889_1.fastq	0.7409452327433089
Gold standard	family	Shannon diversity	ERR1700889_1.fastq	1.0271681980507141
Gold standard	family	Shannon equitability	ERR1700889_1.fastq	0.7409452327433089
Gold standard	genus	Shannon diversity	ERR1700889_1.fastq	0.942222757686928
Gold standard	genus	Shannon equitability	ERR1700889_1.fastq	0.8576481142671553
Gold standard	species	Shannon diversity	ERR1700889_1.fastq	1.1985507222020098
Gold standard	species	Shannon equitability	ERR1700889_1.fastq	0.7447014345457612
Gold standard	strain	Shannon diversity	ERR1700889_1.fastq	1.1985507222020098
Gold standard	strain	Shannon equitability	ERR1700889_1.fastq	0.7447014345457612
Gold standard	superkingdom	True positives	ERR1700889_1.fastq	2.0
Gold standard	superkingdom	False negatives	ERR1700889_1.fastq	0.0
Gold standard	superkingdom	False positives	ERR1700889_1.fastq	0.0
Gold standard	superkingdom	Completeness	ERR1700889_1.fastq	1.0
Gold standard	superkingdom	Purity	ERR1700889_1.fastq	1.0
Gold standard	superkingdom	F1 score	ERR1700889_1.fastq	1.0
Gold standard	superkingdom	Jaccard index	ERR1700889_1.fastq	1.0
Gold standard	phylum	True positives	ERR1700889_1.fastq	3.0
Gold standard	phylum	False negatives	ERR1700889_1.fastq	0.0
Gold standard	phylum	False positives	ERR1700889_1.fastq	0.0
Gold standard	phylum	Completeness	ERR1700889_1.fastq	1.0
Gold standard	phylum	Purity	ERR1700889_1.fastq	1.0
Gold standard	phylum	F1 score	ERR1700889_1.fastq	1.0
Gold standard	phylum	Jaccard index	ERR1700889_1.fastq	1.0
Gold standard	class	True positives	ERR1700889_1.fastq	3.0
Gold standard	class	False negatives	ERR1700889_1.fastq	0.0
Gold standard	class	False positives	ERR1700889_1.fastq	0.0
Gold standard	class	Completeness	ERR1700889_1.fastq	1.0
Gold standard	class	Purity	ERR1700889_1.fastq	1.0
Gold standard	class	F1 score	ERR1700889_1.fastq	1.0
Gold standard	class	Jaccard index	ERR1700889_1.fastq	1.0
Gold standard	order	True positives	ERR1700889_1.fastq	4.0
Gold standard	order	False negatives	ERR1700889_1.fastq	0.0
Gold standard	order	False positives	ERR1700889_1.fastq	0.0
Gold standard	order	Completeness	ERR1700889_1.fastq	1.0
Gold standard	order	Purity	ERR1700889_1.fastq	1.0
Gold standard	order	F1 score	ERR1700889_1.fastq	1.0
Gold standard	order	Jaccard index	ERR1700889_1.fastq	1.0
Gold standard	family	True positives	ERR1700889_1.fastq	4.0
Gold standard	family	False negatives	ERR1700889_1.fastq	0.0
Gold standard	family	False positives	ERR1700889_1.fastq	0.0
Gold standard	family	Completeness	ERR1700889_1.fastq	1.0
Gold standard	family	Purity	ERR1700889_1.fastq	1.0
Gold standard	family	F1 score	ERR1700889_1.fastq	1.0
Gold standard	family	Jaccard index	ERR1700889_1.fastq	1.0
Gold standard	genus	True positives	ERR1700889_1.fastq	3.0
