Accesion	Length	TaxID	Lineage	TaxID_Lineage
Unmapped	0	Unmapped	|||||||Unmapped	|||||||Unmapped
PYVI01000010.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000011.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000012.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000013.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000014.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000015.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000016.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000001.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000017.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000018.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000019.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000020.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000021.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000002.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
PYVI01000022.1	174474	172371	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax venustensis|	2|1224|1236|135619|224372|59753|172371|
